,ZIP_CODE
1810,05261
1811,05262
1812,05301
1813,05302
1814,05303
1815,05304
1816,05340
1817,05341
1818,05342
1819,05343
1820,05344
1821,05345
1822,05346
1823,05350
1824,05351
1825,05352
1826,05353
1827,05354
1828,05355
1829,05356
1830,05357
1831,05358
1832,05359
1833,05360
1834,05361
1835,05362
1836,05363
1837,05401
1838,05402
1839,05403
1840,05404
1841,05405
1842,05406
1843,05407
1844,05408
1845,05439
1846,05440
1847,05441
1848,05442
1849,05443
1850,05444
1851,05445
1852,05446
1853,05447
1854,05448
1855,05449
1856,05450
1857,05451
1858,05452
1859,05453
1860,05454
1861,05455
1862,05456
1863,05457
1864,05458
1865,05459
1866,05460
1867,05461
1868,05462
1869,05463
1870,05464
1871,05465
1872,05466
1873,05468
1874,05469
1875,05470
1876,05471
1877,05472
1878,05473
1879,05474
1880,05476
1881,05477
1882,05478
1883,05479
1884,05481
1885,05482
1886,05483
1887,05485
1888,05486
1889,05487
1890,05488
1891,05489
1892,05490
1893,05491
1894,05492
1895,05494
1896,05495
1897,05501
1898,05601
1899,05602
1900,05603
1901,05604
1902,05609
1903,05620
1904,05633
1905,05640
1906,05641
1907,05647
1908,05648
1909,05649
1910,05650
1911,05651
1912,05652
1913,05653
1914,05654
1915,05655
1916,05656
1917,05657
1918,05658
1919,05660
1920,05661
1921,05662
1922,05663
1923,05664
1924,05665
1925,05666
1926,05667
1927,05669
1928,05670
1929,05671
1930,05672
1931,05673
1932,05674
1933,05675
1934,05676
1935,05677
1936,05678
1937,05679
1938,05680
1939,05681
1940,05682
1941,05701
1942,05702
1943,05730
1944,05731
1945,05732
1946,05733
1947,05734
1948,05735
1949,05736
1950,05737
1951,05738
1952,05739
1953,05740
1954,05741
1955,05742
1956,05743
1957,05744
1958,05745
1959,05746
1960,05747
1961,05748
1962,05750
1963,05751
1964,05753
1965,05757
1966,05758
1967,05759
1968,05760
1969,05761
1970,05762
1971,05763
1972,05764
1973,05765
1974,05766
1975,05767
1976,05768
1977,05769
1978,05770
1979,05772
1980,05773
1981,05774
1982,05775
1983,05776
1984,05777
1985,05778
1986,05819
1987,05820
1988,05821
1989,05822
1990,05823
1991,05824
1992,05825
1993,05826
1994,05827
1995,05828
1996,05829
1997,05830
1998,05832
1999,05833
2000,05836
2001,05837
2002,05838
2003,05839
2004,05840
2005,05841
2006,05842
2007,05843
2008,05845
2009,05846
2010,05847
2011,05848
2012,05849
2013,05850
2014,05851
2015,05853
2016,05855
2017,05857
2018,05858
2019,05859
2020,05860
2021,05861
2022,05862
2023,05863
2024,05866
2025,05867
2026,05868
2027,05871
2028,05872
2029,05873
2030,05874
2031,05875
2032,05901
2033,05902
2034,05903
2035,05904
2036,05905
2037,05906
2038,05907
2039,06001
2040,06002
2041,06006
2042,06010
2043,06011
2044,06013
2045,06016
2046,06018
2047,06019
2048,06020
2049,06021
2050,06022
2051,06023
2052,06024
2053,06025
2054,06026
2055,06027
2056,06028
2057,06029
2058,06030
2059,06031
2060,06032
2061,06033
2062,06034
2063,06035
2064,06037
2065,06039
2066,06040
2067,06041
2068,06042
2069,06043
2070,06045
2071,06050
2072,06051
2073,06052
2074,06053
2075,06057
2076,06058
2077,06059
2078,06060
2079,06061
2080,06062
2081,06063
2082,06064
2083,06065
2084,06066
2085,06067
2086,06068
2087,06069
2088,06070
2089,06071
2090,06072
2091,06073
2092,06074
2093,06075
2094,06076
2095,06077
2096,06078
2097,06079
2098,06080
2099,06081
2100,06082
2101,06083
2102,06084
2103,06085
2104,06088
2105,06089
2106,06090
2107,06091
2108,06092
2109,06093
2110,06094
2111,06095
2112,06096
2113,06098
2114,06101
2115,06102
2116,06103
2117,06104
2118,06105
2119,06106
2120,06107
2121,06108
2122,06109
2123,06110
2124,06111
2125,06112
2126,06114
2127,06115
2128,06117
2129,06118
2130,06119
2131,06120
2132,06123
2133,06126
2134,06127
2135,06128
2136,06129
2137,06131
2138,06132
2139,06133
2140,06134
2141,06137
2142,06138
2143,06140
2144,06141
2145,06142
2146,06143
2147,06144
2148,06145
2149,06146
2150,06147
2151,06150
2152,06151
2153,06152
2154,06153
2155,06154
2156,06155
2157,06156
2158,06160
2159,06161
2160,06167
2161,06176
2162,06180
2163,06183
2164,06199
2165,06226
2166,06230
2167,06231
2168,06232
2169,06233
2170,06234
2171,06235
2172,06237
2173,06238
2174,06239
2175,06241
2176,06242
2177,06243
2178,06244
2179,06245
2180,06246
2181,06247
2182,06248
2183,06249
2184,06250
2185,06251
2186,06254
2187,06255
2188,06256
2189,06258
2190,06259
2191,06260
2192,06262
2193,06263
2194,06264
2195,06265
2196,06266
2197,06267
2198,06268
2199,06269
2200,06277
2201,06278
2202,06279
2203,06280
2204,06281
2205,06282
2206,06320
2207,06330
2208,06331
2209,06332
2210,06333
2211,06334
2212,06335
2213,06336
2214,06338
2215,06339
2216,06340
2217,06349
2218,06350
2219,06351
2220,06353
2221,06354
2222,06355
2223,06357
2224,06359
2225,06360
2226,06365
2227,06370
2228,06371
2229,06372
2230,06373
2231,06374
2232,06375
2233,06376
2234,06377
2235,06378
2236,06379
2237,06380
2238,06382
2239,06383
2240,06384
2241,06385
2242,06387
2243,06388
2244,06389
2245,06390
2246,06401
2247,06403
2248,06404
2249,06405
2250,06408
2251,06409
2252,06410
2253,06411
2254,06412
2255,06413
2256,06414
2257,06415
2258,06416
2259,06417
2260,06418
2261,06419
2262,06420
2263,06422
2264,06423
2265,06424
2266,06426
2267,06437
2268,06438
2269,06439
2270,06440
2271,06441
2272,06442
2273,06443
2274,06444
2275,06447
2276,06450
2277,06451
2278,06455
2279,06456
2280,06457
2281,06459
2282,06460
2283,06461
2284,06467
2285,06468
2286,06469
2287,06470
2288,06471
2289,06472
2290,06473
2291,06474
2292,06475
2293,06477
2294,06478
2295,06479
2296,06480
2297,06481
2298,06482
2299,06483
2300,06484
2301,06487
2302,06488
2303,06489
2304,06491
2305,06492
2306,06493
2307,06494
2308,06495
2309,06498
2310,06501
2311,06502
2312,06503
2313,06504
2314,06505
2315,06506
2316,06507
2317,06508
2318,06509
2319,06510
2320,06511
2321,06512
2322,06513
2323,06514
2324,06515
2325,06516
2326,06517
2327,06518
2328,06519
2329,06520
2330,06521
2331,06524
2332,06525
2333,06530
2334,06531
2335,06532
2336,06533
2337,06534
2338,06535
2339,06536
2340,06537
2341,06538
2342,06540
2343,06601
2344,06602
2345,06604
2346,06605
2347,06606
2348,06607
2349,06608
2350,06610
2351,06611
2352,06612
2353,06614
2354,06615
2355,06673
2356,06699
2357,06701
2358,06702
2359,06703
2360,06704
2361,06705
2362,06706
2363,06708
2364,06710
2365,06712
2366,06716
2367,06720
2368,06721
2369,06722
2370,06723
2371,06724
2372,06725
2373,06726
2374,06749
2375,06750
2376,06751
2377,06752
2378,06753
2379,06754
2380,06755
2381,06756
2382,06757
2383,06758
2384,06759
2385,06762
2386,06763
2387,06770
2388,06776
2389,06777
2390,06778
2391,06779
2392,06781
2393,06782
2394,06783
2395,06784
2396,06785
2397,06786
2398,06787
2399,06790
2400,06791
2401,06792
2402,06793
2403,06794
2404,06795
2405,06796
2406,06798
2407,06801
2408,06804
2409,06807
2410,06810
2411,06811
2412,06812
2413,06813
2414,06814
2415,06816
2416,06817
2417,06820
2418,06824
2419,06825
2420,06828
2421,06829
2422,06830
2423,06831
2424,06836
2425,06838
2426,06840
2427,06850
2428,06851
2429,06852
2430,06853
2431,06854
2432,06855
2433,06856
2434,06857
2435,06858
2436,06860
2437,06870
2438,06875
2439,06876
2440,06877
2441,06878
2442,06879
2443,06880
2444,06881
2445,06883
2446,06888
2447,06889
2448,06890
2449,06896
2450,06897
2451,06901
2452,06902
2453,06903
2454,06904
2455,06905
2456,06906
2457,06907
2458,06910
2459,06911
2460,06912
2461,06913
2462,06914
2463,06926
2464,06927
2465,07001
2466,07002
2467,07003
2468,07004
2469,07005
2470,07006
2471,07007
2472,07008
2473,07009
2474,07010
2475,07011
2476,07012
2477,07013
2478,07014
2479,07015
2480,07016
2481,07017
2482,07018
2483,07019
2484,07020
2485,07021
2486,07022
2487,07023
2488,07024
2489,07026
2490,07027
2491,07028
2492,07029
